group|detection_smarts|smarts|contribute|composed|molecular_weight|group_number
NH (cyclic)|[NX2H;R]||"{""NH (cyclic)"": 1}"|n|15.0148|175
N (cyclic)|[NH0;R]||"{""N (cyclic)"": 1}"|n|14.007|176
CH=N (cyclic)|[CH;R]=[NH0;R]||"{""CH=N (cyclic)"": 1}"|n|27.0258|177
C=N (cyclic)|[CH0;R]=[NH0;R]||"{""C=N (cyclic)"": 1}"|n|26.018|178
O (cyclic)|[OH0;R]||"{""O (cyclic)"": 1}"|n|15.999|179
CO (cyclic)|[CH0;R]=O||"{""CO (cyclic)"": 1}"|n|28.01|180
S (cyclic)|[SX2H0;R]||"{""S (cyclic)"": 1}"|n|32.065|181
SO2 (cyclic)|[SH0;R](=O)(=O)||"{""SO2 (cyclic)"": 1}"|n|64.063|182
>NH|[NX2H;!R]||"{"">NH"": 1}"|n|15.0148|183
-O-|[OX2H0;!R]||"{""-O-"": 1}"|n|15.999|184
-S-|[SX2H0;!R]||"{""-S-"": 1}"|n|32.065|185
>CO|[CX4H0;!R]=O||"{"">CO"": 1}"|n|28.01|186
PO2|[PX3H0]([OH0])([OH0])||"{""PO2"": 1}"|n|62.972|187
CH-N|[CH][NH0;!R]||"{""CH-N"": 1}"|n|27.0258|188
SiHO|[SiX4H]O[Si,CH0;!$([SiH2]);!$([CH](=O));!$(C(=O)[!O])]|[SiX4H]O|"{""SiHO"": 1, ""SiH"": -1}"|n|45.0928|189
SiO|[SiX4H0]O[Si,CH0;!$([SiH]);!$([SiH2]);!$([CH](=O));!$(C(=O)[!O])]|[SiX4H0]O|"{""SiO"": 1, ""Si"": -1}"|n|44.085|190
SiH2|[SiX4H2]||"{""SiH2"": 1}"|n|30.1016|191
SiH|[SiX4H]||"{""SiH"": 1}"|n|29.0938|192
Si|[SiX4H0]||"{""Si"": 1}"|n|28.086|193
? (CH3)3N||||||194
N=N (cyclic)|[NH0;R]=[NH0;R]||"{""N=N"": 1}"|n|28.014|195
Ccyclic=N-|[CH0;R]=[NH0;!R]||"{""Ccyclic=N-"": 1}"|n|26.018|196
Ccyclic=CH-|[CH0;R]=[CH;!R]||"{""Ccyclic=CH-"": 1}"|n|25.0298|197
Ccyclic=NH|[CH0;R]=[NH]||"{""Ccyclic=N-"": 1}"|n|27.0258|198
N=O|[NH0]=O||"{""N=O"": 1}"|n|30.006|199
Ccyclic=C|[CH0;R]=[CH0;!R]||"{""Ccyclic=C"": 1}"|n|24.022|200
P=O|[PX5H0]=O||"{""P=O"": 1}"|n|46.973|201
N=N|[NH0;!R]=[NH0;!R]||"{""N=N"": 1}"|n|28.014|202
C=NH|[CH0]=[NH]||"{""C=NH"": 1}"|n|27.0258|203
